Target	RF_Accuracy	RF_F1	RF_MCC	SVM_Accuracy	SVM_F1	SVM_MCC	LR_Accuracy	LR_F1	LR_MCC
CHEMBL1918	0.75	0.79	0.48	0.70	0.80	0.41	0.78	0.81	0.54
CHEMBL2008	0.86	0.89	0.72	0.59	0.74	0.00	0.83	0.87	0.67
CHEMBL206	0.76	0.79	0.53	0.83	0.86	0.64	0.81	0.83	0.64
CHEMBL2107	0.88	0.90	0.75	0.88	0.90	0.75	0.86	0.89	0.72
CHEMBL213	0.77	0.80	0.53	0.76	0.79	0.52	0.81	0.84	0.60
CHEMBL251	0.83	0.86	0.66	0.85	0.88	0.69	0.87	0.89	0.72
CHEMBL260	0.72	0.76	0.43	0.72	0.77	0.42	0.74	0.78	0.47
CHEMBL2801	0.77	0.84	0.54	0.62	0.76	0.00	0.62	0.71	0.16
CHEMBL2835	0.82	0.84	0.65	0.74	0.75	0.55	0.87	0.89	0.75
CHEMBL284	0.78	0.83	0.54	0.78	0.85	0.58	0.78	0.82	0.54
CHEMBL286	0.79	0.83	0.57	0.68	0.75	0.32	0.73	0.78	0.43
CHEMBL340	0.78	0.80	0.55	0.78	0.81	0.54	0.76	0.80	0.50
CHEMBL4018	0.87	0.90	0.74	0.89	0.91	0.77	0.91	0.93	0.81
CHEMBL4198	0.93	0.94	0.85	0.94	0.95	0.88	0.94	0.95	0.88
CHEMBL4306	0.82	0.86	0.61	0.61	0.75	0.00	0.79	0.83	0.55
CHEMBL4618	0.85	0.89	0.70	0.83	0.88	0.68	0.88	0.91	0.76
CHEMBL6184	0.68	0.71	0.39	0.60	0.75	0.00	0.67	0.71	0.34