target	test_f1score	test_mcc	test_accuracy	test_precision	test_recall	test_auc	test_auprc
CHEMBL1918	0.83	0.58	0.80	0.83	0.83	0.79	0.87
CHEMBL2008	0.92	0.80	0.90	0.85	1.00	0.83	0.83
CHEMBL206	0.82	0.56	0.79	0.83	0.81	0.81	0.87
CHEMBL2107	0.95	0.87	0.94	0.93	0.97	0.97	0.97
CHEMBL213	0.88	0.70	0.86	0.86	0.91	0.89	0.89
CHEMBL251	0.91	0.77	0.89	0.90	0.92	0.94	0.95
CHEMBL260	0.77	0.50	0.74	0.85	0.69	0.84	0.86
CHEMBL2801	0.86	0.73	0.85	1.00	0.75	0.90	0.95
CHEMBL2835	0.76	0.47	0.73	0.82	0.70	0.81	0.86
CHEMBL284	0.82	0.54	0.78	0.81	0.83	0.76	0.76
CHEMBL286	0.89	0.72	0.87	0.87	0.91	0.89	0.92
CHEMBL340	0.86	0.71	0.85	0.94	0.80	0.88	0.93
CHEMBL4018	0.95	0.88	0.94	0.98	0.92	0.97	0.98
CHEMBL4198	0.94	0.85	0.93	0.91	0.98	0.93	0.92
CHEMBL4306	0.86	0.68	0.84	0.90	0.83	0.80	0.89
CHEMBL4618	0.91	0.77	0.89	0.91	0.91	0.93	0.94
CHEMBL6184	0.71	0.44	0.70	0.84	0.61	0.71	0.79