log_fl	modelname	target	optimizer	learning_rate	epoch	hidden1	hidden2	dropout	rotate	save_model	test_f1score	test_mcc	test_accuracy	test_precision	test_recall	test_threshold	val_auc	val_auprc	test_auc	test_auprc
convnetMUV-CNNModel-MUV_692-adam-0.001-15-128-0-0.8-0-0-	CNNModel	MUV_692	adam	0.001	15	128	0	0.8	0	0	0.60	0.44	0.71	0.59	0.72	0.40	0.81	0.78	0.81	0.78
convnetMUV-CNNModel-MUV_600-adam-0.001-15-128-0-0.6-0-0-	CNNModel	MUV_600	adam	0.001	15	128	0	0.6	0	0	0.74	0.55	0.71	0.60	1.00	0.41	0.88	0.80	0.88	0.80
convnetMUV-ImageNetInceptionV2-MUV_652-RMSprop-0.001-15-0-0-0.8-0-0-	ImageNetInceptionV2	MUV_652	RMSprop	0.001	15	0	0	0.8	0	0	0.46	0.31	0.69	0.43	0.50	0.47	0.74	0.67	0.74	0.67
convnetMUV-CNNModel-MUV_466-adam-0.001-5-128-0-0.6-0-0-	CNNModel	MUV_466	adam	0.001	5	128	0	0.6	0	0	0.20	0.07	0.56	0.14	0.33	0.82	0.70	0.62	0.70	0.62
convnetMUV-CNNModel-MUV_733-adam-0.0001-15-32-0-0.6-0-0-	CNNModel	MUV_733	adam	0.0001	15	32	0	0.6	0	0	0.38	0.11	0.53	0.29	0.56	0.59	0.64	0.53	0.64	0.53
convnetMUV-CNNModel-MUV_858-adam-0.0005-30-128-0-0.8-0-0-	CNNModel	MUV_858	adam	0.0005	30	128	0	0.8	0	0	0.63	0.42	0.70	0.61	0.72	0.30	0.74	0.61	0.74	0.61
convnetMUV-ImageNetInceptionV2-MUV_548-RMSprop-0.001-15-0-0-0.6-0-0-	ImageNetInceptionV2	MUV_548	RMSprop	0.001	15	0	0	0.6	0	0	0.45	0.27	0.66	0.47	0.50	0.62	0.62	0.62	0.62	0.62
convnetMUV-ImageNetInceptionV2-MUV_737-adam-0.0005-30-0-0-0.8-0-0-	ImageNetInceptionV2	MUV_737	adam	0.0005	30	0	0	0.8	0	0	0.66	0.61	0.80	1.00	0.50	0.37	0.85	0.87	0.85	0.87
convnetMUV-CNNModel-MUV_713-adam-0.001-30-128-0-0.8-0-0-	CNNModel	MUV_713	adam	0.001	30	128	0	0.8	0	0	0.43	0.26	0.61	0.34	0.61	0.46	0.70	0.64	0.70	0.64
convnetMUV-ImageNetInceptionV2-MUV_712-adam-0.0001-15-0-0-0.6-0-0-	ImageNetInceptionV2	MUV_712	adam	0.0001	15	0	0	0.6	0	0	0.10	0.11	0.62	0.33	0.06	0.67	0.75	0.69	0.75	0.69
convnetMUV-ImageNetInceptionV2-MUV_846-RMSprop-0.001-15-0-0-0.8-0-0-	ImageNetInceptionV2	MUV_846	RMSprop	0.001	15	0	0	0.8	0	0	0.60	0.36	0.67	0.60	0.67	0.34	0.79	0.74	0.79	0.74
convnetMUV-ImageNetInceptionV2-MUV_852-adam-0.001-15-0-0-0.8-0-0-	ImageNetInceptionV2	MUV_852	adam	0.001	15	0	0	0.8	0	0	0.19	0.14	0.63	0.31	0.20	0.73	0.76	0.77	0.76	0.77
convnetMUV-CNNModel-MUV_859-adam-0.001-15-128-0-0.8-0-0-	CNNModel	MUV_859	adam	0.001	15	128	0	0.8	0	0	0.43	0.20	0.57	0.33	0.63	0.56	0.70	0.67	0.70	0.67
convnetMUV-ImageNetInceptionV2-MUV_689-adam-0.0001-30-0-0-0.8-0-0-	ImageNetInceptionV2	MUV_689	adam	0.0001	30	0	0	0.8	0	0	0.41	0.35	0.71	0.60	0.33	0.61	0.67	0.59	0.67	0.59
convnetMUV-CNNModel-MUV_644-adam-0.0005-30-32-0-0.8-0-0-	CNNModel	MUV_644	adam	0.0005	30	32	0	0.8	0	0	0.35	0.26	0.63	0.61	0.38	0.54	0.73	0.65	0.73	0.65
convnetMUV-ImageNetInceptionV2-MUV_832-adam-0.0005-30-0-0-0.6-0-0-	ImageNetInceptionV2	MUV_832	adam	0.0005	30	0	0	0.6	0	0	0.24	0.24	0.67	0.50	0.17	0.55	0.71	0.65	0.71	0.65
convnetMUV-ImageNetInceptionV2-MUV_810-RMSprop-0.0001-30-0-0-0.8-0-0-	ImageNetInceptionV2	MUV_810	RMSprop	0.0001	30	0	0	0.8	0	0	0.67	0.49	0.72	0.68	0.77	0.40	0.73	0.66	0.73	0.66